alphas,beta,steps,years,error_alpha,error_beta,scalar,min_value
0.031056200151418602,1.3872428625585407e-08,50,21,0.14054894958745182,0.0012257118796437094,100,0.01
0.0015004170181395194,1.3872428625585407e-08,50,21,0.14054894958745182,0.0012257118796437094,100,0.01
0.0004972073153517908,1.3872428625585407e-08,50,21,0.14054894958745182,0.0012257118796437094,100,0.01
0.03152895387927269,1.3872428625585407e-08,50,21,0.14054894958745182,0.0012257118796437094,100,0.01
0.000260438941360952,1.3872428625585407e-08,50,21,0.14054894958745182,0.0012257118796437094,100,0.01
0.007160477307931599,1.3872428625585407e-08,50,21,0.14054894958745182,0.0012257118796437094,100,0.01
0.13155617496424843,1.3872428625585407e-08,50,21,0.14054894958745182,0.0012257118796437094,100,0.01
0.04927979057658117,1.3872428625585407e-08,50,21,0.14054894958745182,0.0012257118796437094,100,0.01
0.4998713930170543,1.3872428625585407e-08,50,21,0.14054894958745182,0.0012257118796437094,100,0.01
0.003955089061227079,1.3872428625585407e-08,50,21,0.14054894958745182,0.0012257118796437094,100,0.01
0.39453814088496164,1.3872428625585407e-08,50,21,0.14054894958745182,0.0012257118796437094,100,0.01
0.0005252412565162345,1.3872428625585407e-08,50,21,0.14054894958745182,0.0012257118796437094,100,0.01
0.0007764913190967776,1.3872428625585407e-08,50,21,0.14054894958745182,0.0012257118796437094,100,0.01
0.0498041578965202,1.3872428625585407e-08,50,21,0.14054894958745182,0.0012257118796437094,100,0.01
0.01564052386219018,1.3872428625585407e-08,50,21,0.14054894958745182,0.0012257118796437094,100,0.01
0.7000369658667314,1.3872428625585407e-08,50,21,0.14054894958745182,0.0012257118796437094,100,0.01
0.0772893426901313,1.3872428625585407e-08,50,21,0.14054894958745182,0.0012257118796437094,100,0.01
0.11119986715226769,1.3872428625585407e-08,50,21,0.14054894958745182,0.0012257118796437094,100,0.01
0.29049415763921677,1.3872428625585407e-08,50,21,0.14054894958745182,0.0012257118796437094,100,0.01
0.26328728012994007,1.3872428625585407e-08,50,21,0.14054894958745182,0.0012257118796437094,100,0.01
1.011505057098128,1.3872428625585407e-08,50,21,0.14054894958745182,0.0012257118796437094,100,0.01
0.7753728137784601,1.3872428625585407e-08,50,21,0.14054894958745182,0.0012257118796437094,100,0.01
0.00040856349008447455,1.3872428625585407e-08,50,21,0.14054894958745182,0.0012257118796437094,100,0.01
0.04767722989640332,1.3872428625585407e-08,50,21,0.14054894958745182,0.0012257118796437094,100,0.01
0.0003029541852723478,1.3872428625585407e-08,50,21,0.14054894958745182,0.0012257118796437094,100,0.01
0.0003721448270047232,1.3872428625585407e-08,50,21,0.14054894958745182,0.0012257118796437094,100,0.01
0.03302427552986851,1.3872428625585407e-08,50,21,0.14054894958745182,0.0012257118796437094,100,0.01
0.0003955046689514059,1.3872428625585407e-08,50,21,0.14054894958745182,0.0012257118796437094,100,0.01
0.2831280995475837,1.3872428625585407e-08,50,21,0.14054894958745182,0.0012257118796437094,100,0.01
0.02748357301365555,1.3872428625585407e-08,50,21,0.14054894958745182,0.0012257118796437094,100,0.01
0.1741793654009134,1.3872428625585407e-08,50,21,0.14054894958745182,0.0012257118796437094,100,0.01
0.5456007140445319,1.3872428625585407e-08,50,21,0.14054894958745182,0.0012257118796437094,100,0.01
3.5454700739266785,1.3872428625585407e-08,50,21,0.14054894958745182,0.0012257118796437094,100,0.01
0.32314347357093937,1.3872428625585407e-08,50,21,0.14054894958745182,0.0012257118796437094,100,0.01
0.4587737701383037,1.3872428625585407e-08,50,21,0.14054894958745182,0.0012257118796437094,100,0.01
0.013054200017007475,1.3872428625585407e-08,50,21,0.14054894958745182,0.0012257118796437094,100,0.01
0.0003585228980241646,1.3872428625585407e-08,50,21,0.14054894958745182,0.0012257118796437094,100,0.01
0.6981037889371692,1.3872428625585407e-08,50,21,0.14054894958745182,0.0012257118796437094,100,0.01
0.7392031357312356,1.3872428625585407e-08,50,21,0.14054894958745182,0.0012257118796437094,100,0.01
0.00459717015868855,1.3872428625585407e-08,50,21,0.14054894958745182,0.0012257118796437094,100,0.01
0.03717512536495046,1.3872428625585407e-08,50,21,0.14054894958745182,0.0012257118796437094,100,0.01
0.6391557194989077,1.3872428625585407e-08,50,21,0.14054894958745182,0.0012257118796437094,100,0.01
0.9362431328348588,1.3872428625585407e-08,50,21,0.14054894958745182,0.0012257118796437094,100,0.01
0.6344908936957433,1.3872428625585407e-08,50,21,0.14054894958745182,0.0012257118796437094,100,0.01
3.2107775821761915,1.3872428625585407e-08,50,21,0.14054894958745182,0.0012257118796437094,100,0.01
0.011414921283677123,1.3872428625585407e-08,50,21,0.14054894958745182,0.0012257118796437094,100,0.01
0.0007517769501998078,1.3872428625585407e-08,50,21,0.14054894958745182,0.0012257118796437094,100,0.01
0.006021754948924342,1.3872428625585407e-08,50,21,0.14054894958745182,0.0012257118796437094,100,0.01
0.002523284522326781,1.3872428625585407e-08,50,21,0.14054894958745182,0.0012257118796437094,100,0.01
0.0016830632243434395,1.3872428625585407e-08,50,21,0.14054894958745182,0.0012257118796437094,100,0.01
0.35116045217677094,1.3872428625585407e-08,50,21,0.14054894958745182,0.0012257118796437094,100,0.01
0.27519951417074606,1.3872428625585407e-08,50,21,0.14054894958745182,0.0012257118796437094,100,0.01
0.006907085669925382,1.3872428625585407e-08,50,21,0.14054894958745182,0.0012257118796437094,100,0.01
