alphas,beta,steps,years,error_alpha,error_beta,scalar,min_value
0.0008482687704541178,1.4300076525647197e-10,50,21,0.12880405920268947,0.0017660921194224688,100,0.01
0.22087706625171433,1.4300076525647197e-10,50,21,0.12880405920268947,0.0017660921194224688,100,0.01
0.0007954715712488382,1.4300076525647197e-10,50,21,0.12880405920268947,0.0017660921194224688,100,0.01
0.010788969777368805,1.4300076525647197e-10,50,21,0.12880405920268947,0.0017660921194224688,100,0.01
0.0008117959354902637,1.4300076525647197e-10,50,21,0.12880405920268947,0.0017660921194224688,100,0.01
0.0004025803551366339,1.4300076525647197e-10,50,21,0.12880405920268947,0.0017660921194224688,100,0.01
0.001663396028307962,1.4300076525647197e-10,50,21,0.12880405920268947,0.0017660921194224688,100,0.01
0.004531038537848224,1.4300076525647197e-10,50,21,0.12880405920268947,0.0017660921194224688,100,0.01
0.05072324762717634,1.4300076525647197e-10,50,21,0.12880405920268947,0.0017660921194224688,100,0.01
0.000783827246497018,1.4300076525647197e-10,50,21,0.12880405920268947,0.0017660921194224688,100,0.01
0.0004283790645713242,1.4300076525647197e-10,50,21,0.12880405920268947,0.0017660921194224688,100,0.01
0.16026658786741219,1.4300076525647197e-10,50,21,0.12880405920268947,0.0017660921194224688,100,0.01
0.0008284245105752187,1.4300076525647197e-10,50,21,0.12880405920268947,0.0017660921194224688,100,0.01
0.3722196152987733,1.4300076525647197e-10,50,21,0.12880405920268947,0.0017660921194224688,100,0.01
0.5783392824136028,1.4300076525647197e-10,50,21,0.12880405920268947,0.0017660921194224688,100,0.01
0.6228352771763074,1.4300076525647197e-10,50,21,0.12880405920268947,0.0017660921194224688,100,0.01
0.0018781982102264831,1.4300076525647197e-10,50,21,0.12880405920268947,0.0017660921194224688,100,0.01
0.08565788347677804,1.4300076525647197e-10,50,21,0.12880405920268947,0.0017660921194224688,100,0.01
0.0074300881833693185,1.4300076525647197e-10,50,21,0.12880405920268947,0.0017660921194224688,100,0.01
0.35037816751417167,1.4300076525647197e-10,50,21,0.12880405920268947,0.0017660921194224688,100,0.01
0.16370497326980568,1.4300076525647197e-10,50,21,0.12880405920268947,0.0017660921194224688,100,0.01
0.7553467231526311,1.4300076525647197e-10,50,21,0.12880405920268947,0.0017660921194224688,100,0.01
0.0003816372501105133,1.4300076525647197e-10,50,21,0.12880405920268947,0.0017660921194224688,100,0.01
0.09683084138974005,1.4300076525647197e-10,50,21,0.12880405920268947,0.0017660921194224688,100,0.01
0.07866396722982741,1.4300076525647197e-10,50,21,0.12880405920268947,0.0017660921194224688,100,0.01
0.00030182620967655096,1.4300076525647197e-10,50,21,0.12880405920268947,0.0017660921194224688,100,0.01
0.3342791616187092,1.4300076525647197e-10,50,21,0.12880405920268947,0.0017660921194224688,100,0.01
0.4181086788386513,1.4300076525647197e-10,50,21,0.12880405920268947,0.0017660921194224688,100,0.01
0.054230764904628616,1.4300076525647197e-10,50,21,0.12880405920268947,0.0017660921194224688,100,0.01
0.8894347405457835,1.4300076525647197e-10,50,21,0.12880405920268947,0.0017660921194224688,100,0.01
0.01949924766829207,1.4300076525647197e-10,50,21,0.12880405920268947,0.0017660921194224688,100,0.01
0.34441853748633033,1.4300076525647197e-10,50,21,0.12880405920268947,0.0017660921194224688,100,0.01
0.08385545913781497,1.4300076525647197e-10,50,21,0.12880405920268947,0.0017660921194224688,100,0.01
0.0003820823342144112,1.4300076525647197e-10,50,21,0.12880405920268947,0.0017660921194224688,100,0.01
0.09474641240238163,1.4300076525647197e-10,50,21,0.12880405920268947,0.0017660921194224688,100,0.01
0.0004001402211555931,1.4300076525647197e-10,50,21,0.12880405920268947,0.0017660921194224688,100,0.01
0.02031056329320756,1.4300076525647197e-10,50,21,0.12880405920268947,0.0017660921194224688,100,0.01
0.00040189681134729756,1.4300076525647197e-10,50,21,0.12880405920268947,0.0017660921194224688,100,0.01
0.3610563342941203,1.4300076525647197e-10,50,21,0.12880405920268947,0.0017660921194224688,100,0.01
0.07680774102306986,1.4300076525647197e-10,50,21,0.12880405920268947,0.0017660921194224688,100,0.01
0.8948352142768472,1.4300076525647197e-10,50,21,0.12880405920268947,0.0017660921194224688,100,0.01
0.03455014081155019,1.4300076525647197e-10,50,21,0.12880405920268947,0.0017660921194224688,100,0.01
0.20415113553621475,1.4300076525647197e-10,50,21,0.12880405920268947,0.0017660921194224688,100,0.01
0.3301547107984555,1.4300076525647197e-10,50,21,0.12880405920268947,0.0017660921194224688,100,0.01
1.8350632891222216,1.4300076525647197e-10,50,21,0.12880405920268947,0.0017660921194224688,100,0.01
0.18950414289457995,1.4300076525647197e-10,50,21,0.12880405920268947,0.0017660921194224688,100,0.01
0.6176456866143041,1.4300076525647197e-10,50,21,0.12880405920268947,0.0017660921194224688,100,0.01
2.0361264219525816,1.4300076525647197e-10,50,21,0.12880405920268947,0.0017660921194224688,100,0.01
0.0008229042532161804,1.4300076525647197e-10,50,21,0.12880405920268947,0.0017660921194224688,100,0.01
0.028888366733033313,1.4300076525647197e-10,50,21,0.12880405920268947,0.0017660921194224688,100,0.01
0.15662400242744368,1.4300076525647197e-10,50,21,0.12880405920268947,0.0017660921194224688,100,0.01
0.014882812157640785,1.4300076525647197e-10,50,21,0.12880405920268947,0.0017660921194224688,100,0.01
0.0008140875047177699,1.4300076525647197e-10,50,21,0.12880405920268947,0.0017660921194224688,100,0.01
0.007296473018339534,1.4300076525647197e-10,50,21,0.12880405920268947,0.0017660921194224688,100,0.01
0.09043014905815563,1.4300076525647197e-10,50,21,0.12880405920268947,0.0017660921194224688,100,0.01
0.16626848224879245,1.4300076525647197e-10,50,21,0.12880405920268947,0.0017660921194224688,100,0.01
0.6502394985527021,1.4300076525647197e-10,50,21,0.12880405920268947,0.0017660921194224688,100,0.01
0.0028411629004175968,1.4300076525647197e-10,50,21,0.12880405920268947,0.0017660921194224688,100,0.01
0.07439287483964736,1.4300076525647197e-10,50,21,0.12880405920268947,0.0017660921194224688,100,0.01
0.00040523015069116535,1.4300076525647197e-10,50,21,0.12880405920268947,0.0017660921194224688,100,0.01
0.9584336001982298,1.4300076525647197e-10,50,21,0.12880405920268947,0.0017660921194224688,100,0.01
