alphas,beta,steps,years,error_alpha,error_beta,scalar,min_value
0.47336436640994567,1.6382287315975486e-08,50,21,0.11866485595955543,0.000903887578919127,100,0.01
0.11905637666613454,1.6382287315975486e-08,50,21,0.11866485595955543,0.000903887578919127,100,0.01
0.0006476019095783234,1.6382287315975486e-08,50,21,0.11866485595955543,0.000903887578919127,100,0.01
0.10345262103093808,1.6382287315975486e-08,50,21,0.11866485595955543,0.000903887578919127,100,0.01
0.030988992790898628,1.6382287315975486e-08,50,21,0.11866485595955543,0.000903887578919127,100,0.01
0.03286104543407385,1.6382287315975486e-08,50,21,0.11866485595955543,0.000903887578919127,100,0.01
0.08375472365491878,1.6382287315975486e-08,50,21,0.11866485595955543,0.000903887578919127,100,0.01
0.20719155473579778,1.6382287315975486e-08,50,21,0.11866485595955543,0.000903887578919127,100,0.01
0.01184293023043427,1.6382287315975486e-08,50,21,0.11866485595955543,0.000903887578919127,100,0.01
0.0007801367571857294,1.6382287315975486e-08,50,21,0.11866485595955543,0.000903887578919127,100,0.01
0.16985149922278014,1.6382287315975486e-08,50,21,0.11866485595955543,0.000903887578919127,100,0.01
0.008699231810443284,1.6382287315975486e-08,50,21,0.11866485595955543,0.000903887578919127,100,0.01
0.21821489696158292,1.6382287315975486e-08,50,21,0.11866485595955543,0.000903887578919127,100,0.01
0.25412781640931137,1.6382287315975486e-08,50,21,0.11866485595955543,0.000903887578919127,100,0.01
0.0007493764978930506,1.6382287315975486e-08,50,21,0.11866485595955543,0.000903887578919127,100,0.01
0.5598274370258549,1.6382287315975486e-08,50,21,0.11866485595955543,0.000903887578919127,100,0.01
0.03259341825526392,1.6382287315975486e-08,50,21,0.11866485595955543,0.000903887578919127,100,0.01
0.9395653170442823,1.6382287315975486e-08,50,21,0.11866485595955543,0.000903887578919127,100,0.01
0.01334134432768177,1.6382287315975486e-08,50,21,0.11866485595955543,0.000903887578919127,100,0.01
0.08863763923934978,1.6382287315975486e-08,50,21,0.11866485595955543,0.000903887578919127,100,0.01
0.5995575877052194,1.6382287315975486e-08,50,21,0.11866485595955543,0.000903887578919127,100,0.01
0.7130437602223746,1.6382287315975486e-08,50,21,0.11866485595955543,0.000903887578919127,100,0.01
0.08994544894826335,1.6382287315975486e-08,50,21,0.11866485595955543,0.000903887578919127,100,0.01
0.22908933994196737,1.6382287315975486e-08,50,21,0.11866485595955543,0.000903887578919127,100,0.01
0.8732975006028064,1.6382287315975486e-08,50,21,0.11866485595955543,0.000903887578919127,100,0.01
0.5414792890838243,1.6382287315975486e-08,50,21,0.11866485595955543,0.000903887578919127,100,0.01
0.0007923772868140242,1.6382287315975486e-08,50,21,0.11866485595955543,0.000903887578919127,100,0.01
0.22815836291530342,1.6382287315975486e-08,50,21,0.11866485595955543,0.000903887578919127,100,0.01
0.2364731797333182,1.6382287315975486e-08,50,21,0.11866485595955543,0.000903887578919127,100,0.01
