seriesCode,meanGap,per1,per5,per10,per90,per95,per99
sdg2_crlyld,0.36642712487542617,0.36588885755283795,0.3660131558976729,0.36607970410213536,0.36677356699866276,0.3668450084534533,0.3669663610615907
sdg2_obesity,0.04301312462762978,0.043012668817352245,0.04301278502244546,0.043012836978788264,0.04301340492376771,0.04301345610828056,0.04301356416853661
sdg2_snmi,0.3390908540495155,0.33875734574095834,0.33883840678817423,0.3388770072868485,0.3393062448321062,0.33934523133576716,0.3394193500832966
sdg2_trophic,0.20048041459115565,0.20047997899467435,0.2004800817053165,0.2004801358756642,0.2004806948993178,0.20048074586443723,0.2004808509839777
sdg2_undernsh,0.0008891186096250793,0.0007752956581563132,0.0008006424724446499,0.0008141925374195029,0.0009617991346984288,0.0009770834190421063,0.0010064472405312203
sdg2_wasting,0.051981646229577516,0.05187053891151694,0.051896409191925494,0.05191201449969509,0.05205337071637067,0.05206611750845312,0.05209180229449926
sdg3_births,0.3618157180401592,0.3618153382946828,0.36181542985499654,0.3618154743042566,0.3618159631226783,0.3618160125094982,0.36181610138108616
sdg3_fertility,0.020864158146598734,0.020821251736432213,0.020832305255815985,0.020837254910163073,0.02089167984823956,0.02089662756988288,0.020907451484059147
sdg3_hiv,7.903446259320618e-05,7.403260158463423e-05,7.523780267788462e-05,7.58297209651472e-05,8.235964459136838e-05,8.301131677126054e-05,8.442475392105157e-05
sdg3_lifee,0.1565800427539248,0.1563527595633418,0.15640635119934376,0.15643447630883742,0.15672370885376496,0.15675450394831528,0.15681074656592153
sdg3_matmort,0.022141314924974047,0.022121957653253334,0.02212669031213,0.022129235603545717,0.022153686395914324,0.022155873436951235,0.022160639227867485
sdg3_ncds,0.16306970014751634,0.16304071074967744,0.16304782785318214,0.16305123359160503,0.1630878572081177,0.16309105532674276,0.16309755524493538
sdg3_swb,0.3820952228327856,0.38205079886591686,0.38206091654000884,0.38206637260592496,0.3821240730596771,0.3821288832249914,0.3821392176346187
sdg3_tb,0.023546285468387457,0.02349062620593282,0.023503907425870673,0.023510644948759412,0.023581828342757818,0.023588565865646557,0.02360174846387256
sdg3_traffic,0.15884902834027975,0.1587508895211465,0.15877466562159684,0.1587866473384178,0.15891007804027185,0.15892167938513024,0.15894450455567416
sdg3_u5mort,0.02518840326769265,0.02508403860115488,0.025110746432313175,0.025123840327282994,0.02525420440148435,0.025267647643871464,0.025291885279241127
sdg3_uhc,0.16455717877250203,0.16349032393330037,0.1637426808683082,0.16387884692897778,0.16523301215618685,0.1653691782168564,0.1656040584253618
sdg3_vac,0.08808382799704165,0.08792400108119913,0.08796119492954012,0.08798142879258448,0.08818571526791247,0.08820644233527047,0.08824190434973045
sdg4_primary,0.0017986945088330675,0.0017176296095572946,0.0017355335673928188,0.0017457972407843398,0.0018518787670787882,0.0018618481175833933,0.0018805770793653789
sdg4_second,0.20919295275197183,0.20862212606673783,0.20876191968167054,0.20882894996720688,0.2095544736995776,0.20962892881464418,0.20976297697653096
sdg5_edat,1.889647774090075e-08,0.0,0.0,0.0,4.7241194352251874e-08,4.7241194352251874e-08,5.668943322270225e-08
sdg5_familypl,0.12531037636840595,0.12486212476159989,0.124960671572958,0.12501479979347127,0.12560355062344766,0.12566129752836608,0.12576651913995043
sdg5_lfpr,0.3858026410110594,0.3858021201412865,0.3858022422146731,0.3858023140674347,0.38580297676700603,0.3858030427366535,0.3858031687829883
sdg5_parl,0.32246850285744927,0.3218691011183169,0.32201401142887526,0.3220897600003035,0.32285602815764985,0.3229328745344611,0.3230744969178974
sdg6_sanita,0.3678982768493042,0.3678980805991798,0.36789812216618545,0.3678981474023947,0.3678984062962119,0.3678984315398436,0.3678984757700115
sdg6_scarcew,5.7699908808351854e-05,5.7339063270612295e-05,5.7423646313918585e-05,5.746994366390408e-05,5.792500870971797e-05,5.796977871487149e-05,5.8044630765262174e-05
sdg6_water,0.004630696515844287,0.004358863787064464,0.0044209268554123785,0.004455915730960789,0.004809882914613541,0.004845955236083869,0.004911656646490765
sdg7_cleanfuel,0.6091497694278581,0.6084073684702848,0.6085955633163861,0.6086821286173276,0.6096230558014748,0.6097039990624912,0.6098846382633037
sdg7_co2twh,0.007758352602217923,0.007736532279360773,0.007741181843483595,0.007743912442764498,0.007772955904272056,0.007775727289203158,0.007780703138527581
sdg7_elecac,0.27068408668855337,0.27012833544505516,0.2702633870875572,0.2703270223213217,0.2710482216373189,0.2711203415689187,0.2712695343744794
sdg8_accounts,0.5771788336844673,0.576835577894473,0.5769186522118739,0.5769574800628913,0.5773983982836197,0.5774378022605012,0.5775226989549787
sdg8_impacc,5.394533576165278e-05,5.3535728002770814e-05,5.362925645918454e-05,5.3677228301335195e-05,5.421054932651674e-05,5.425695134696592e-05,5.435064151180022e-05
sdg8_unemp,0.011381814401341018,0.011377367255639575,0.01137838377560747,0.011378946075024552,0.011384715791939283,0.011385277884704616,0.01138641037763571
sdg9_articles,0.9941274317772008,0.9941100169174479,0.9941140624359248,0.9941161025127533,0.9941387610415892,0.9941408990356314,0.9941449435830285
sdg9_intuse,0.3539002950504971,0.35322584814996316,0.3533852059458386,0.3534704930307056,0.35434361956203136,0.354427728338489,0.3545927027377824
sdg9_lpi,0.5138624882713654,0.5135946440797895,0.5136615076078856,0.5136949339791341,0.5140311031475733,0.5140634779228452,0.51412817893819
sdg9_mobuse,1.0162648216808716e-06,3.6295172202888266e-07,5.081324108404357e-07,5.807227552462123e-07,1.4518068881155309e-06,1.5969875769270837e-06,1.7421682657386369e-06
sdg9_rdex,0.9765677871663105,0.9765385560346551,0.976545838354919,0.9765491968795442,0.9765866804587764,0.97659029615625,0.9765982430518948
sdg11_pipedwat,0.18566297697625683,0.18462389462987266,0.18486066309841223,0.18499560885768349,0.1863377057726176,0.18646654830323092,0.18669718287362178
sdg11_pm25,0.3443227564536535,0.34431101793892555,0.34431387254372486,0.3443153371677048,0.3443301139185521,0.3443316407451659,0.3443341133571033
sdg11_transport,1.4288766043975304e-05,3.175281343105623e-06,6.350562686211246e-06,6.350562686211246e-06,2.222696940173936e-05,2.5402250744844977e-05,2.857753208795061e-05
sdg13_co2import,7.743272168968383e-05,7.721867394456157e-05,7.726857942976242e-05,7.729624188425464e-05,7.756879211417391e-05,7.759765346997074e-05,7.764404022857835e-05
sdg13_co2pc,0.005745794882097971,0.005745136373628491,0.005745288524559673,0.005745370540217275,0.005746214528879326,0.005746292919207137,0.005746442698816045
sdg14_cleanwat,0.5260451441097796,0.5260447954525727,0.5260448773768569,0.526044922026475,0.5260453662125247,0.5260454100759212,0.5260454943278094
sdg14_cpma,0.8122149662900809,0.81217706907787,0.8121860412531245,0.8121905269540536,0.8122394133602121,0.812244355365201,0.8122539454844285
sdg14_fishstocks,0.29770735317722397,0.2977070694183846,0.29770713420238604,0.2977071681692961,0.2977075370142257,0.2977075705810659,0.2977076431888733
sdg14_trawl,0.5314893872915573,0.5314891629826666,0.5314892144143923,0.5314892430154717,0.5314895263784418,0.5314895543784345,0.531489607640812
sdg15_cpfa,0.6313774773400607,0.6310801255895652,0.6311527177045495,0.6311885743001084,0.631566380380143,0.6316018106320351,0.6316704541487527
sdg15_cpta,0.6131590297442878,0.6128574834781985,0.6129277687695305,0.6129629090408537,0.6133527761051295,0.6133879282481661,0.613458676536316
sdg15_redlist,0.20051046545232984,0.20051023164599144,0.20051028457028577,0.2005103157361291,0.20051061646743945,0.20051064471072388,0.20051070510540345
sdg16_homicides,0.002147038927532281,0.0021450839857149583,0.002145564024808935,0.002145803870428715,0.0021482633750765155,0.0021484860019027083,0.002148955640149649
sdg16_rsf,0.41814706189604556,0.41807892872871216,0.41809431458275575,0.4181033500021609,0.4181897969878202,0.4181974893043407,0.41821446612480134
sdg16_safe,0.2916792872279232,0.2916790381110538,0.29167909476322984,0.29167912889316633,0.2916794445071149,0.29167947653471776,0.2916795296613065
sdg17_govrev,0.6546034782026502,0.6541732557346511,0.6542785106967345,0.65432794601909,0.6548738051544186,0.6549267202173239,0.6550273853728639
