seriesCode,meanGap,per1,per5,per10,per90,per95,per99
sdg1_320pov,0.000423019542766694,0.00042130614124443497,0.00042170223360315926,0.00042192020324797336,0.000424141991524532,0.0004243533585295939,0.0004247659739942977
sdg2_crlyld,0.5190671133249776,0.5186495010740475,0.5187407124140538,0.5187987559940577,0.519331701592275,0.5193769303559144,0.5194877445958944
sdg2_obesity,0.3185643536732594,0.3185638268116017,0.31856395228621603,0.31856401863525474,0.31856468762231877,0.3185647457263422,0.3185648566762469
sdg2_snmi,0.6175337338389226,0.6174102141229443,0.6174389757146117,0.6174531477507947,0.6176141809854628,0.6176312707938012,0.617658365087094
sdg2_trophic,0.07538097361575592,0.07533664023111208,0.07534677390188674,0.07535243163233049,0.0754094311554577,0.07541492210951896,0.07542530700041403
sdg2_undernsh,0.11734658297284555,0.11734625266155926,0.11734633228056655,0.11734637101413768,0.1173467933176561,0.11734683369202434,0.11734691328951297
sdg2_wasting,0.02997128661889007,0.02993524289172962,0.029943735350157537,0.029948515935599516,0.029994183107058415,0.029998147533341058,0.030007582584832763
sdg3_births,0.06655386516494992,0.06655362265058763,0.06655367997966258,0.06655370761310159,0.06655402024215779,0.06655404952535433,0.06655410809174746
sdg3_fertility,0.00695622261436567,0.006909526054091086,0.006922175073258959,0.006927865582435901,0.00698576826440046,0.006992220762683901,0.007002919174640431
sdg3_hiv,0.00015512827851540064,0.00015469217461824922,0.000154805593747774,0.00015486035122190208,0.00015539388460949753,0.0001554456549663782,0.0001555430616253588
sdg3_lifee,0.058788758253035575,0.05866756579290603,0.058693867063690904,0.05870879506786822,0.05886892131986475,0.05888364944237937,0.058910373620682174
sdg3_matmort,0.0025846145023902312,0.002583586921227189,0.0025838141934314157,0.0025839385132696256,0.002585284761142612,0.0025854050988610034,0.0025856284957827737
sdg3_ncds,0.06399312948654597,0.06379757356685645,0.06384403297592228,0.06386634343204127,0.06411953739773044,0.06414546722566532,0.06419768881871668
sdg3_swb,0.2993843635449064,0.2992792906214477,0.29930292884386706,0.29931585498689767,0.2994514040624926,0.29946433020552327,0.29948888249091393
sdg3_tb,0.0010575878754725166,0.0010565090613483545,0.0010567508111255157,0.0010568786682095444,0.0010582970827354866,0.001058434928654205,0.001058728640349422
sdg3_traffic,0.005918464254411276,0.005569202816590528,0.005653086188502904,0.005694348021378461,0.006150935582001257,0.006195414564361496,0.006282740197072409
sdg3_u5mort,0.0008365522957246641,0.0008142783634020436,0.000819330615834432,0.0008221453372876491,0.0008511680729159795,0.00085403691345893,0.0008597678702028801
sdg3_uhc,0.10359615096150278,0.10270541971753558,0.10290175400212885,0.10300853577121977,0.10416385993515932,0.10428570014667068,0.10448803591785172
sdg3_vac,0.026089066305945794,0.025663936436120794,0.025766491734854072,0.02582063600212178,0.02635855552122923,0.026407705014681464,0.02649703857278188
sdg4_primary,0.18615824112415363,0.18609855294876207,0.18611201987471704,0.18611957524796838,0.1861978711037652,0.1862050437424947,0.18621938175284247
sdg4_second,0.5450382464671325,0.5450378381339828,0.5450379298352948,0.5450379832250762,0.5450385124693901,0.5450385571680767,0.5450386607244067
sdg5_edat,0.013551725520219686,0.013425165430993391,0.013456974488927074,0.01347307490759472,0.013632861037514411,0.013647395835155325,0.013678196775875943
sdg5_familypl,0.263860500307059,0.2633654929490848,0.26348154601071133,0.26354172278612326,0.26417627049286596,0.26423461279386506,0.26436092989019827
sdg5_lfpr,0.6512177596200558,0.6510579775498296,0.6510940119522144,0.6511134738462364,0.651323018089859,0.65134374767792,0.6513861476584232
sdg5_parl,0.4419924623640564,0.44189089035851253,0.44191386329638,0.4419268058607961,0.44205810974959914,0.4420701451036177,0.4420962217039909
sdg6_sanita,2.8997376095471114e-07,1.5998552328535778e-07,1.899828089013624e-07,1.9998190410669727e-07,3.799656178027248e-07,3.999638082133944e-07,4.2996109382939906e-07
sdg6_scarcew,0.13360580774323938,0.13360537659010802,0.13360548984879164,0.1336055437424447,0.13360607721150367,0.13360612876195446,0.13360621468718312
sdg6_water,0.03922155837975365,0.03899785494405048,0.03905307198156975,0.039080294325222795,0.03936242225282884,0.03938844405210911,0.03943765836776441
sdg7_co2twh,0.010545483193808188,0.010534231034331236,0.010536772000650264,0.010538304525372478,0.010552843345434531,0.01055425538548286,0.010557098218842566
sdg7_elecac,1.6998300170310328e-07,6.999300070127783e-08,8.999100090164292e-08,9.999000100182546e-08,2.399760024043811e-07,2.499750025045637e-07,2.799720028051113e-07
sdg8_accounts,0.3565709559534379,0.35601852734624323,0.35615733392344634,0.35622355687313134,0.3569162193836765,0.35697744135274834,0.3571241000034266
sdg8_impacc,0.007153879381060307,0.007151967836919557,0.00715243226200537,0.007152643153190431,0.007155097744365978,0.00715534079176731,0.007155794533843494
