seriesCode,meanGap,per1,per5,per10,per90,per95,per99
sdg2_crlyld,0.27280923094514714,0.2718655250261666,0.2720856717576795,0.2722103702559491,0.2734019336838579,0.2735143162810637,0.2737406286605466
sdg2_obesity,0.19293515669446082,0.19293466321279498,0.19293478867717262,0.1929348410905507,0.19293548353483392,0.19293554341577243,0.192935657662423
sdg2_snmi,0.651802133329725,0.6517707448982518,0.6517783850389637,0.6517817064782473,0.651822892325363,0.6518268780525032,0.6518358467689286
sdg2_trophic,0.17420335280592328,0.17417623072785154,0.17418256302397153,0.17418584931064704,0.17422095057494635,0.17422467317993368,0.17423091047710823
sdg2_undernsh,0.004536748262384291,0.004380660535486771,0.0044162574991290175,0.0044353693152014905,0.0046367105047408165,0.004655948042862382,0.004692635442296748
sdg2_wasting,0.012484654395682295,0.012455305983187701,0.012462727420829958,0.01246610080157644,0.012502870651713084,0.012506484988227172,0.012513665952013359
sdg3_births,1.3537631681370505e-05,6.76881584068525e-06,8.122579008822299e-06,8.799460592890825e-06,1.89526843539187e-05,1.9629565937987227e-05,2.1660210690192797e-05
sdg3_fertility,0.07383380429170096,0.07381255381406056,0.07381793057753994,0.07382023299760065,0.07384711955815099,0.07384956919410916,0.07385520107085183
sdg3_hiv,0.0008045939470666079,0.0008009981745714916,0.0008018189989987782,0.0008022681367200812,0.0008069454875653554,0.0008074535766481928,0.00080832648020647
sdg3_lifee,0.04549890169812875,0.04535153960896678,0.045387272597766766,0.04540502115765696,0.045593949907014424,0.04561077017051563,0.04564649615330513
sdg3_matmort,0.002229162072283707,0.0022142075931323763,0.0022176647713013035,0.0022195766231730626,0.0022385916923715722,0.0022402927167424046,0.002243383107439222
sdg3_ncds,0.01521502154584509,0.015055173703674301,0.015092072331604447,0.015112405679649901,0.01531822928174722,0.015336511954836074,0.015373908041065422
sdg3_swb,0.15821135869406208,0.15785700871240893,0.15794294767182843,0.15798200956695754,0.1584368016316754,0.15848032774339071,0.15855399289733355
sdg3_tb,0.003387275806573948,0.0033819319075032574,0.0033831877130146566,0.0033838293420486183,0.0033905939452923855,0.003391208075939177,0.0033924913340071003
sdg3_traffic,0.19731568159385035,0.19731527571094853,0.19731537071968902,0.19731541962124663,0.19731594007353848,0.19731598478353404,0.19731606582040093
sdg3_u5mort,0.0070217256506337035,0.0069946991619664785,0.007000761320880999,0.007004193684941732,0.007039210613736603,0.007042641802732611,0.007048470828805759
sdg3_uhc,0.017324665926222237,0.016840287020980407,0.016958836106550128,0.01701461058053566,0.017626776324990164,0.017684489737673517,0.017803050344532445
sdg3_vac,0.13624832038466367,0.13600984098704033,0.13606630197905917,0.1360942369524553,0.1364050649906486,0.1364341614708333,0.13649738860746102
sdg4_primary,0.09326788714437377,0.0932256810051358,0.09323476360093734,0.09324014129109676,0.09329606865080689,0.09330175068022552,0.09331126738431055
sdg4_second,3.7132722025476054e-08,0.0,9.283180506369014e-09,9.283180506369014e-09,7.426544405095211e-08,7.426544405095211e-08,9.283180506369016e-08
sdg5_edat,0.008335937750889888,0.0082804848478096,0.008293202614168275,0.00829941689579439,0.008372076188653576,0.008378388464720717,0.008392153098522561
sdg5_familypl,0.08494596624290504,0.0845116259654198,0.08461054274250336,0.08466580196827,0.08522781592392956,0.08528527170392043,0.08538251688942455
sdg5_lfpr,0.23644063437384963,0.23603634388363826,0.2361381087844243,0.23618445681236733,0.23669677732139263,0.23674385224148414,0.23683662444797624
sdg5_parl,0.011859266720619195,0.011390610201251558,0.0114939073980241,0.011553271621634336,0.012155131259169772,0.012216106326633003,0.012337483296618228
sdg6_sanita,0.022639750475821462,0.022207034437879046,0.02230793705707898,0.0223691216958123,0.022915293139795727,0.022963758376736917,0.02305505869279638
sdg6_scarcew,0.004296712321586961,0.004296333639481202,0.0042964200411024734,0.004296465941963773,0.004296958701210083,0.0042970019020207185,0.004297097082181713
sdg6_water,0.011046959996938591,0.010835601091828148,0.01088447534304819,0.010910598515813842,0.011182785234681641,0.011206998321018126,0.011259462086607639
sdg7_cleanfuel,0.005404478164985285,0.0052619848050182065,0.0052953556976462245,0.0053120172110633565,0.005496830114564751,0.005516023009433711,0.00554859359942896
sdg7_co2twh,0.014912475259843011,0.014905235413245777,0.014906933849360442,0.014907825805701089,0.014917112317094808,0.014918016670326915,0.014919727503333043
sdg7_elecac,5.999400059997071e-08,9.999000099995119e-09,1.9998000199990237e-08,1.9998000199990237e-08,9.999000099995118e-08,1.0998900109994631e-07,1.2998700129993655e-07
sdg8_accounts,0.10717457099903341,0.10665646688077572,0.10678109192544245,0.10683710318147245,0.10751483937943529,0.10757785204246902,0.10769968352574125
sdg8_impacc,0.0015923827341983966,0.0015920261926218179,0.0015921106536462943,0.001592151917047565,0.0015926193540150878,0.0015926645019787443,0.0015927483214862787
sdg8_unemp,0.03685602070512365,0.036839612546397546,0.036843035327084855,0.036845249355804674,0.03686679205444454,0.0368687404882496,0.03687281250095073
sdg9_articles,0.8132543540309372,0.812808207073134,0.8129202867341558,0.8129763118163729,0.813527197471788,0.813575129427617,0.8136739466851687
sdg9_intuse,0.002447108867123811,0.002129227525814796,0.0022042267408079607,0.002241641337473378,0.002663061931770295,0.0027089677130138342,0.0027942943842278276
sdg9_lpi,0.3571789884450409,0.35682916598002123,0.35690757157701547,0.35695208551908775,0.3574023460127919,0.3574437183735542,0.35752054234685443
sdg9_mobuse,0.11368833117819313,0.11234178406725757,0.11263094516029486,0.11278811489967167,0.11459564085196716,0.11475928165415977,0.1151178668975875
sdg9_rdex,0.7822434378337206,0.7819020155867329,0.7819815569381402,0.7820184815763453,0.7824621453061636,0.7825019103011538,0.7825882599877747
sdg11_pipedwat,6.999414189521183e-08,9.999163127887403e-09,1.9998326255774806e-08,2.999748938366221e-08,1.1998995753464884e-07,1.2998912066253625e-07,1.399882837904237e-07
sdg11_pm25,0.10895023161033951,0.10891222738641676,0.10892170022365082,0.1089264114687091,0.10897426829871765,0.10897865337024559,0.10898650427238118
sdg11_transport,0.13689019751858722,0.1367084810779771,0.13675031870507945,0.13677148955252888,0.13700613311175971,0.13702881616259832,0.13707570076851233
sdg13_co2import,0.004043702912791964,0.004043521751047934,0.004043564191079903,0.004043587881651071,0.004043819481782048,0.004043842241954283,0.004043883768503665
sdg13_co2pc,0.02354763601791636,0.02354746142770415,0.023547502010830133,0.023547520695913857,0.0235477504786505,0.023547770616207532,0.023547814111578993
sdg14_cleanwat,0.26067720205709977,0.26046993283891196,0.2605203031747192,0.26054547608489764,0.26080735681181366,0.26083254086537866,0.2608858107103618
sdg14_cpma,0.13434177771816286,0.1338677433507363,0.1339713757223839,0.1340313660901697,0.13465325305351744,0.13471980295003813,0.1348359925234718
sdg14_fishstocks,0.31600528797628086,0.31574047354271945,0.3158040308363907,0.31583532680312404,0.31617573062590026,0.3162075080690449,0.31627781325462034
sdg14_trawl,0.07039448516796377,0.07039426807413021,0.0703943229237584,0.07039434835779532,0.0703946222920377,0.0703946526906268,0.07039470555939038
sdg15_cpfa,0.2903584996215881,0.2903573313329825,0.2903576072865994,0.2903577343628608,0.2903592552470836,0.2903593905218135,0.2903596692765738
sdg15_cpta,0.6260702359317176,0.6260221242146221,0.6260329662917407,0.6260387261452098,0.6261020845333711,0.6261075055719303,0.6261200417235987
sdg15_redlist,0.33070269458067525,0.33070239109365046,0.3307024621001404,0.3307024991105238,0.33070289119073215,0.3307029334148983,0.33070300815512965
sdg16_detain,0.027006883728279134,0.02656861589803109,0.02666952689296575,0.026726125060825928,0.027287940873973175,0.027345268427582295,0.027440859773949573
sdg16_homicides,0.004134587889867278,0.004120159406644939,0.004123309024295039,0.004125160078455118,0.004143870214073829,0.004145625679532561,0.00414916065792206
sdg16_rsf,0.2493232141172411,0.24926850970924416,0.2492809256438342,0.24928741925230852,0.24935929510831917,0.24936550259065457,0.2493777235715025
sdg16_safe,0.34913917227981994,0.34880136360255576,0.34887842824412507,0.3489185427111588,0.34935980184853005,0.3494025686207855,0.3494833121812393
sdg17_govex,0.10429149876836066,0.10303226096155033,0.10334955554698581,0.1034948077059151,0.10507611616561278,0.10522808101533766,0.10553190442624907
