seriesCode,meanGap,per1,per5,per10,per90,per95,per99
sdg1_320pov,0.597091359179104,0.5963820407459179,0.5965579686502461,0.5966431352190035,0.5975500256328407,0.5976383851948619,0.5978175181414852
sdg2_crlyld,0.6842804819064583,0.6838770263229297,0.6839744200688271,0.6840196337493851,0.6845420256586018,0.6845934996949294,0.684694360982328
sdg2_obesity,0.08287345876967804,0.08287304019568238,0.08287313557999314,0.08287319312352179,0.08287372756889752,0.08287377567292269,0.08287388285759814
sdg2_snmi,0.6816518492774397,0.68160845797687,0.6816181407625209,0.6816234538384177,0.68168036278469,0.6816857363706179,0.6816963622272405
sdg2_trophic,0.03317476677455994,0.03314397709834051,0.03315140040163114,0.033154895599404224,0.03319485631427957,0.03319905983210116,0.03320582967943953
sdg2_undernsh,0.2681538586473329,0.26807810295101286,0.26809721682763865,0.2681059768981717,0.2682028354053162,0.26821209569578597,0.26822752337454986
sdg2_wasting,0.04923564283912042,0.04916810418885669,0.049183707991150086,0.04919224990693421,0.04927823852582774,0.04928666654940141,0.04930386484264117
sdg3_births,0.4021568947256395,0.4015899351785747,0.4017271894118012,0.40179385132209855,0.402509344825641,0.4025799998503671,0.40270405370531676
sdg3_fertility,0.0823741078042462,0.08224767931055027,0.08227971148257959,0.08229604522812614,0.08245175673356049,0.08246660028998412,0.0824973565207217
sdg3_hiv,0.003988774488003384,0.003920113880332705,0.003937327284738728,0.003944988834418888,0.004031873556130564,0.00404017843734325,0.004057430703375212
sdg3_lifee,0.20425381248722776,0.20390006552127626,0.20398124591854302,0.20402390851190247,0.20448371646255392,0.20452994908542707,0.20461170720531224
sdg3_matmort,0.04476256617972114,0.04465189981771779,0.04467806613800765,0.04469175393890447,0.04483201006805651,0.04484432524037231,0.04487203608852343
sdg3_ncds,0.08874396040753023,0.08861200321258811,0.08863965138676637,0.08865724567942523,0.08882774275352434,0.08884387609152497,0.08887340936848805
sdg3_tb,0.036218804630438396,0.03621859609619898,0.03621865158727421,0.03621867513949135,0.03621893412138629,0.036218959346895535,0.036219009799595726
sdg3_traffic,0.3375934258105498,0.33759301138135683,0.33759311723980523,0.33759316705391773,0.33759368456719774,0.33759373024743083,0.3375938347152352
sdg3_u5mort,0.0402576649525278,0.04006407066650877,0.04011020737009709,0.04013619494403056,0.04038030294187763,0.04040366985877681,0.040445128799057095
sdg3_uhc,0.4384726278761141,0.4378171250893583,0.43798439584829174,0.4380597997947978,0.43889191761436924,0.43896586768806717,0.4391073061785379
sdg3_vac,1.6995110873973653e-05,6.079467421240125e-06,8.270522995665557e-06,9.55344880480591e-06,2.5305268289032855e-05,2.7456689444064653e-05,3.183880059291552e-05
sdg4_primary,0.0029688431401644452,0.0027619806531132577,0.0028120817306485075,0.0028369450410117973,0.003110017777193876,0.0031344674170965267,0.0031820977963546372
sdg4_second,0.19839474285224504,0.19719811982437596,0.19747455091415816,0.19763795209249768,0.19915020713373338,0.19930512583261625,0.19956905311934758
sdg5_familypl,0.34819231146362356,0.34721515710531636,0.3474457136275521,0.3475706852711087,0.34879998608042145,0.3489238534486794,0.34915007905706075
sdg5_lfpr,0.11557398234714174,0.11537793250091552,0.11542489925969351,0.11544805154267912,0.1156979396213143,0.11572305727950227,0.11576546371540408
sdg5_parl,0.33498585535884506,0.334781151894358,0.33482945647744733,0.33485837055636347,0.3351110401778013,0.33513470536568696,0.33517806826983426
sdg6_sanita,0.7150252595507895,0.714932032283518,0.7149544007464959,0.7149658818664072,0.715085497781536,0.7150972657501646,0.7151182014037992
sdg6_water,0.25095000211096297,0.25060507808666405,0.2506845999077264,0.25072369279678797,0.25118221909801597,0.25122631078719004,0.25131264915386026
sdg7_cleanfuel,0.9834315116541158,0.9834281933477771,0.9834289594605442,0.9834293837466815,0.9834337054296443,0.983434113317584,0.9834349346330231
sdg7_elecac,0.4935260545218003,0.49254297480194154,0.4927603494876653,0.4928847451256023,0.49416736391798194,0.4942939224881154,0.4945264160698909
sdg8_unemp,0.021717130533057755,0.02171658232304206,0.02171672445840087,0.0217167936756719,0.02171746923623711,0.0217175338390234,0.021717656584317353
sdg9_articles,0.988610304321174,0.9885809965968001,0.9885880203445558,0.9885917065488634,0.9886290511587825,0.9886325377673806,0.9886388543399577
sdg9_intuse,0.9322924300763911,0.9322498242517788,0.9322607290630931,0.9322656753204803,0.9323189600023312,0.9323239062597182,0.9323346980940173
sdg9_lpi,0.5087335887731153,0.5080943016024883,0.508228180419606,0.5083122552553595,0.5091581473027749,0.5092495906783941,0.5093908380353778
sdg9_mobuse,0.6649364290539955,0.6644148993463105,0.6645438475778264,0.6646062663899355,0.6652624852172414,0.6653306531304659,0.6654735634646904
sdg11_pipedwat,0.6727158435304466,0.6727155547360776,0.6727156241397944,0.6727156622708393,0.672716024789994,0.6727160593156278,0.6727161197354868
sdg11_pm25,0.21199727447497313,0.2119179344728549,0.2119369173364129,0.21194629567729592,0.21204743292418174,0.21205645675733376,0.21207509155875595
sdg13_co2pc,0.001926156166853801,0.0019259640182779016,0.0019260079671543477,0.001926029771248088,0.0019262822217709294,0.0019263050479315644,0.0019263462747031823
sdg14_cleanwat,0.41437367590376245,0.41422659604811063,0.41426258468684685,0.4142810671193937,0.4144660880664852,0.414484182171327,0.4145174072931542
sdg14_cpma,0.46180813585118524,0.46180641383192744,0.461806841657527,0.4618070501903938,0.4618092086130564,0.4618094214455699,0.4618098406718761
sdg14_fishstocks,0.2829549026033917,0.2828164825655472,0.2828484105987694,0.2828646830714287,0.28304491615468036,0.2830630476028555,0.28309682534246355
